Company Name,Current Year,Years_to_Bankrupt,Bankruptcy,"Total Revenue [CY 2005] ($USDmm, Historical rate)","Gross Profit [CY 2005] ($USDmm, Historical rate)","Net Income [CY 2005] ($USDmm, Historical rate)",EBITDA,"Total Current Assets [CY 2005] ($USDmm, Historical rate)","Total Assets [CY 2005] ($USDmm, Historical rate)","Total Current Liabilities [CY 2005] ($USDmm, Historical rate)","Cash from Ops. [CY 2005] ($USDmm, Historical rate)",Net_Debt_EBITDA,Profit_Margin,Net Debt,Net Workng Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,"Market Capitalization [My Setting] [1/31/2005] ($USDmm, Historical rate)","Market Capitalization [My Setting] [01/31/2006] ($USDmm, Historical rate)"
Cerner Corporation (NasdaqGS:CERN),2005,16.0,0.0,1160.8,906.1,86.3,213.0,651.6,1303.6,260.1,228.9,0.0,0.1,0.0,391.5,2.5,0.0,1807.8,3440.2
"OSI Restaurant Partners, LLC",2005,16.0,0.0,3612.7,1281.0,146.7,386.1,279.6,2009.5,498.9,364.1,0.2,0.0,96.1,-219.3,0.6,0.3,3396.9,3451.5
"Roper Technologies, Inc. (NYSE:ROP)",2005,16.0,0.0,1453.7,728.5,153.2,331.1,498.2,2522.3,505.6,281.3,2.5,0.1,841.0,-7.4,1.0,3.0,2157.3,3461.9
Alliance Data Systems Corporation (NYSE:ADS),2005,16.0,0.0,1552.4,421.2,138.7,316.0,1042.5,2926.1,1048.6,109.1,2.2,0.1,695.2,-6.1,1.0,6.4,3546.2,3466.0
Alliant Energy Corporation (NasdaqGS:LNT),2005,16.0,0.0,3279.6,901.2,-7.7,869.6,1783.4,7733.1,1580.3,565.4,2.5,0.0,2165.3,203.1,1.1,3.8,3177.2,3466.5
SNC-Lavalin Group Inc. (TSX:SNC),2005,16.0,0.0,2960.6,395.3,111.5,207.8,2272.1,3454.4,1919.2,413.8,0.0,0.0,0.0,352.9,1.2,0.0,2549.7,3469.2
Terex Corporation (NYSE:TEX),2005,16.0,0.0,6156.5,947.3,188.5,449.3,2903.5,4200.3,1524.6,273.4,1.3,0.0,570.6,1378.9,1.9,2.1,2126.7,3482.7
"UDR, Inc. (NYSE:UDR)",2005,16.0,0.0,407.0,295.2,155.2,219.3,84.9,4541.6,147.6,248.2,14.3,0.4,3136.0,-62.7,0.6,12.6,3031.5,3485.9
"Brinker International, Inc. (NYSE:EAT)",2005,16.0,0.0,3953.8,650.4,179.5,476.7,350.3,2264.8,556.6,536.4,0.9,0.0,431.9,-206.3,0.6,0.8,3251.1,3500.3
"Nuveen Investments, Inc.",2005,16.0,0.0,589.1,372.3,171.2,309.9,217.6,1077.2,265.6,208.6,1.8,0.3,564.0,-48.0,0.8,2.7,3440.6,3505.6
FCX Oil & Gas Inc.,2005,16.0,0.0,1086.6,801.3,-214.0,531.6,293.3,2741.9,364.0,463.3,1.5,-0.2,797.4,-70.7,0.8,1.7,2218.9,3515.5
"PetSmart, Inc.",2005,16.0,0.0,3760.5,1372.6,182.5,439.7,840.5,1863.7,462.7,339.9,0.2,0.0,73.9,377.8,1.8,0.2,4410.3,3518.0
Federal Realty Investment Trust (NYSE:FRT),2005,16.0,0.0,391.3,276.9,114.6,259.9,130.0,2350.9,119.4,174.9,5.3,0.3,1382.7,10.6,1.1,7.9,2458.6,3524.3
"Foot Locker, Inc. (NYSE:FL)",2005,16.0,0.0,5653.0,2351.0,264.0,580.0,2014.0,3312.0,717.0,349.0,0.0,0.0,0.0,1297.0,2.8,0.0,4197.1,3545.6
Covance Inc.,2005,16.0,0.0,1250.5,401.3,119.6,222.9,546.7,1056.6,252.7,182.0,0.0,0.1,0.0,294.0,2.2,0.0,2653.7,3554.4
"TECO Energy, Inc.",2005,16.0,0.0,3010.1,1490.4,274.5,642.1,1249.2,7170.1,925.9,177.1,5.6,0.1,3582.9,323.3,1.3,20.2,3196.7,3554.7
"Avnet, Inc. (NasdaqGS:AVT)",2005,16.0,0.0,12611.0,1628.1,162.9,439.3,4335.0,6155.5,2478.0,63.1,2.5,0.0,1089.5,1857.0,1.7,17.3,2159.4,3567.6
"FMC Technologies, Inc.",2005,16.0,0.0,3107.0,595.0,106.1,258.2,1431.4,2095.6,1058.2,-30.4,0.4,0.0,103.0,373.2,1.4,-3.4,2094.7,3567.9
SL Green Realty Corp. (NYSE:SLG),2005,16.0,0.0,418.0,267.5,157.4,223.2,191.6,3309.8,126.2,138.4,6.9,0.4,1533.4,65.4,1.5,11.1,2175.8,3568.0
LSI Corporation,2005,16.0,0.0,1919.3,769.2,-5.6,263.2,1620.1,2796.1,742.8,248.7,0.0,0.0,0.0,877.3,2.2,0.0,2351.9,3584.0
Pall Corporation,2005,16.0,0.0,1927.7,927.4,144.6,337.7,1219.4,2334.6,442.4,220.9,0.9,0.1,318.5,777.0,2.8,1.4,3339.3,3587.9
Pengrowth Energy Corporation,2005,16.0,0.0,817.4,602.6,280.0,562.9,109.3,2051.7,205.6,530.3,0.6,0.3,345.6,-96.3,0.5,0.7,2509.6,3596.6
Bausch Health Companies Inc. (NYSE:BHC),2005,16.0,0.0,938.3,722.9,246.4,460.4,687.6,2036.8,273.6,498.1,0.0,0.3,0.0,414.0,2.5,0.0,2585.3,3610.5
Weingarten Realty Investors (NYSE:WRI),2005,16.0,0.0,494.5,421.2,219.7,365.3,145.8,3737.7,312.1,200.5,6.2,0.4,2257.6,-166.3,0.5,11.3,3179.3,3619.7
"Essential Utilities, Inc. (NYSE:WTRG)",2005,16.0,0.0,496.8,293.7,91.2,256.8,98.3,2635.0,271.7,199.7,4.0,0.2,1029.8,-173.4,0.4,5.2,2240.9,3623.4
Oshkosh Corporation (NYSE:OSK),2005,16.0,0.0,3105.3,528.1,172.7,315.3,930.5,1694.1,698.8,190.8,0.0,0.1,0.0,231.7,1.3,0.0,2630.7,3624.0
Brunswick Corporation (NYSE:BC),2005,16.0,0.0,5606.9,1321.6,385.4,625.0,2235.0,4621.5,1305.2,432.9,0.4,0.1,236.9,929.8,1.7,0.5,4436.8,3626.0
CNX Gas Corporation,2005,16.0,0.0,612.9,223.2,102.2,201.3,74.2,859.2,70.5,145.0,0.0,0.2,0.0,3.7,1.1,0.0,,3629.0
Life Technologies Corporation,2005,16.0,0.0,1079.1,689.9,132.0,317.6,1151.2,3877.0,511.6,309.3,2.0,0.1,641.6,639.6,2.3,2.1,3529.2,3640.4
Premier Brands Group Holdings LLC,2005,13.0,1.0,4532.2,1581.8,274.3,530.0,1284.3,4577.8,836.5,427.4,2.1,0.1,1113.0,447.8,1.5,2.6,4110.4,3654.3
Premier Brands Group Holdings LLC,2005,16.0,0.0,4532.2,1581.8,274.3,530.0,1284.3,4577.8,836.5,427.4,2.1,0.1,1113.0,447.8,1.5,2.6,4110.4,3654.3
"O'Reilly Automotive, Inc. (NasdaqGS:ORLY)",2005,16.0,0.0,2045.3,892.5,164.3,309.8,910.6,1718.9,485.7,206.7,0.2,0.1,69.4,424.9,1.9,0.3,2524.7,3678.4
"McDermott International, Inc.",2005,15.0,1.0,1839.7,403.6,205.7,227.5,1002.6,1668.3,768.7,254.9,0.0,0.1,0.0,233.9,1.3,0.0,1238.0,3679.3
"McDermott International, Inc.",2005,16.0,0.0,1839.7,403.6,205.7,227.5,1002.6,1668.3,768.7,254.9,0.0,0.1,0.0,233.9,1.3,0.0,1238.0,3679.3
"J.B. Hunt Transport Services, Inc. (NasdaqGS:JBHT)",2005,16.0,0.0,3127.9,669.8,207.3,532.7,474.7,1548.9,276.1,331.9,0.2,0.1,116.7,198.6,1.7,0.4,3584.0,3680.9
"CNO Financial Group, Inc. (NYSE:CNO)",2005,16.0,0.0,4326.5,1117.5,312.7,965.1,2192.2,31525.3,1157.2,1162.1,1.0,0.1,928.4,1035.0,1.9,0.8,2879.0,3686.6
"Beckman Coulter, Inc.",2005,16.0,0.0,2443.8,1129.6,150.6,398.9,1233.6,3027.6,758.5,385.0,1.7,0.1,686.1,475.1,1.6,1.8,4073.3,3700.9
Kate Spade & Company,2005,16.0,0.0,4586.2,2199.9,317.4,609.5,1456.5,3152.0,607.7,440.6,0.2,0.1,123.1,848.8,2.4,0.3,4552.5,3702.8
Family Dollar Stores Inc.,2005,16.0,0.0,5956.0,1964.1,214.5,457.7,1400.3,2468.7,869.8,303.7,0.2,0.0,103.4,530.5,1.6,0.3,5609.8,3718.8
Eaton Vance Corp. (NYSE:EV),2005,16.0,0.0,777.9,306.4,145.1,248.8,348.1,680.3,69.3,55.9,0.0,0.2,0.0,278.8,5.0,0.0,3343.5,3733.7
Cimarex Energy Co. (NYSE:XEC),2005,16.0,0.0,1118.6,967.3,328.3,787.7,429.0,4180.3,397.4,704.7,0.4,0.3,290.7,31.6,1.1,0.4,1508.0,3754.0
"DST Systems, Inc.",2005,16.0,0.0,2515.1,494.5,424.6,494.5,760.4,3029.5,1622.3,168.0,2.5,0.2,1231.3,-861.9,0.5,7.3,3888.1,3756.6
"The ServiceMaster Company, LLC",2005,16.0,0.0,3239.5,1227.5,198.9,389.9,823.7,3028.9,955.7,256.9,0.7,0.1,291.6,-132.0,0.9,1.1,3748.6,3761.3
"Healthpeak Properties, Inc. (NYSE:PEAK)",2005,16.0,0.0,363.6,304.9,173.1,271.2,532.1,3597.3,68.7,282.2,7.1,0.5,1936.4,463.4,7.7,6.9,3453.5,3770.2
"Novell, Inc.",2005,16.0,0.0,985.6,668.8,-16.6,78.0,1931.6,2675.1,639.4,73.9,0.0,0.0,0.0,1292.2,3.0,0.0,2185.1,3780.2
"Hasbro, Inc. (NasdaqGS:HAS)",2005,16.0,0.0,3087.6,1554.1,212.1,490.7,1830.2,3301.1,910.7,496.6,0.0,0.1,0.0,919.5,2.0,0.0,3469.5,3781.0
"Novellus Systems, Inc.",2005,16.0,0.0,1340.5,604.4,110.1,232.9,1363.5,2290.2,344.3,273.6,0.0,0.1,0.0,1019.2,4.0,0.0,3655.5,3781.3
Quicksilver Resources Inc.,2005,10.0,1.0,310.4,224.2,87.4,203.4,113.6,1243.1,212.2,140.2,2.8,0.3,561.4,-98.6,0.5,4.0,2220.0,3818.3
Quicksilver Resources Inc.,2005,16.0,0.0,310.4,224.2,87.4,203.4,113.6,1243.1,212.2,140.2,2.8,0.3,561.4,-98.6,0.5,4.0,2220.0,3818.3
"Forest City Realty Trust, Inc.",2005,16.0,0.0,1091.3,482.2,83.5,482.2,1094.4,7990.3,690.3,356.9,11.8,0.1,5690.0,404.1,1.6,15.9,2919.2,3829.9
Bonavista Energy Corporation,2005,16.0,0.0,612.1,478.0,259.9,468.0,90.2,1660.0,114.2,432.0,0.8,0.4,370.2,-24.0,0.8,0.9,2386.3,3835.2
"Total System Services, Inc.",2005,16.0,0.0,1602.9,781.4,194.5,337.5,512.3,1410.9,277.0,240.6,0.0,0.1,0.0,235.3,1.8,0.0,4647.6,3872.5
Range Resources Corporation (NYSE:RRC),2005,16.0,0.0,498.8,410.1,111.0,328.0,208.0,2019.0,321.8,325.7,1.9,0.2,610.1,-113.8,0.6,1.9,1654.1,3874.6
McAfee LLC,2005,16.0,0.0,981.6,829.4,118.2,265.8,1566.3,2636.2,878.3,419.5,0.0,0.1,0.0,688.0,1.8,0.0,4141.0,3890.5
"NRG Energy, Inc. (NYSE:NRG)",2005,16.0,0.0,2400.0,571.0,84.0,437.0,2196.0,7466.0,1357.0,105.0,4.6,0.0,2010.2,839.0,1.6,19.1,3500.3,3895.4
RioCan Real Estate Investment Trust (TSX:REI.UN),2005,16.0,0.0,522.5,366.9,113.7,336.0,67.3,3665.7,114.6,224.2,6.1,0.2,2059.7,-47.3,0.6,9.2,2693.6,3899.0
"Martin Marietta Materials, Inc. (NYSE:MLM)",2005,16.0,0.0,1729.0,428.9,192.7,452.1,602.0,2433.3,200.1,317.8,1.4,0.1,614.9,401.9,3.0,1.9,2594.3,3930.7
Eastman Chemical Company (NYSE:EMN),2005,16.0,0.0,6460.0,1360.0,557.0,1059.0,1924.0,5773.0,1051.0,769.0,1.1,0.1,1112.0,873.0,1.8,1.4,4294.1,3933.9
GameStop Corp. (NYSE:GME),2005,16.0,0.0,3091.8,872.0,100.8,273.0,1122.0,3015.8,887.7,291.4,2.1,0.0,573.3,234.3,1.3,2.0,1557.9,3937.1
"American Capital, Ltd.",2005,16.0,0.0,555.0,555.0,365.0,430.5,280.0,5449.0,184.0,302.0,5.5,0.7,2372.1,96.0,1.5,7.9,2911.5,3961.5
"CenterPoint Energy, Inc. (NYSE:CNP)",2005,16.0,0.0,9722.0,1855.0,252.0,1480.0,2891.0,17116.0,3014.0,63.0,5.7,0.0,8450.8,-123.0,1.0,134.1,3463.0,3963.2
Alberto Culver Company,2005,16.0,0.0,2995.6,1421.9,213.6,339.7,1220.4,2340.1,535.0,265.3,0.0,0.1,0.0,685.4,2.3,0.0,4877.2,3982.7
"Brown & Brown, Inc. (NYSE:BRO)",2005,16.0,0.0,782.1,407.2,150.6,298.2,619.8,1608.7,582.8,215.1,0.6,0.2,166.4,37.0,1.1,0.8,2991.5,3993.7
Liberty Property Trust,2005,16.0,0.0,588.2,411.2,249.4,373.6,308.3,4500.3,124.3,360.7,5.9,0.4,2189.3,184.0,2.5,6.1,3344.1,3993.9
"Pharmaceutical Product Development, LLC",2005,16.0,0.0,1037.1,486.6,119.9,211.8,682.9,1159.6,355.2,182.1,0.0,0.1,0.0,327.7,1.9,0.0,2343.3,3998.5
"McCormick & Company, Incorporated (NYSE:MKC)",2005,16.0,0.0,2592.0,1036.6,214.9,429.3,800.2,2272.7,699.0,332.2,1.3,0.1,549.5,101.2,1.1,1.7,5052.1,4004.6
"Telephone and Data Systems, Inc. (NYSE:TDS)",2005,16.0,0.0,3953.0,2519.3,647.7,980.3,1778.4,10204.8,1065.3,868.2,0.1,0.2,92.1,713.1,1.7,0.1,4725.1,4031.4
"American Eagle Outfitters, Inc. (NYSE:AEO)",2005,16.0,0.0,2322.0,1077.7,294.2,539.2,1076.8,1605.6,351.5,465.2,0.0,0.1,0.0,725.3,3.1,0.0,3744.6,4033.2
Boyd Gaming Corporation (NYSE:BYD),2005,16.0,0.0,2161.1,910.1,144.6,549.2,815.6,4425.0,439.8,419.9,4.3,0.1,2372.5,375.8,1.9,5.7,3468.5,4033.6
Global Payments Inc. (NYSE:GPN),2005,16.0,0.0,847.3,491.9,106.5,229.7,227.0,890.1,130.9,307.4,0.0,0.1,0.0,96.1,1.7,0.0,2218.4,4034.8
iStar Inc. (NYSE:STAR),2005,16.0,0.0,784.9,761.7,287.9,700.9,268.6,8532.3,148.5,515.9,8.2,0.4,5747.4,120.1,1.8,11.1,4486.9,4044.9
TransAlta Corporation (TSX:TA),2005,16.0,0.0,2285.9,725.8,159.8,752.4,734.1,6600.1,1007.5,531.7,3.1,0.1,2324.9,-273.4,0.7,4.4,2956.7,4056.1
"Henry Schein, Inc. (NasdaqGS:HSIC)",2005,16.0,0.0,4526.0,1308.4,139.8,322.8,1584.4,2583.1,724.1,254.8,0.6,0.0,189.8,860.3,2.2,0.7,2944.5,4065.4
Apartment Investment and Management Company (NYSE:AIV),2005,16.0,0.0,1374.0,748.0,71.0,651.8,1371.7,10019.2,369.7,347.6,9.0,0.1,5859.7,1002.0,3.7,16.9,3402.6,4069.3
Precision Drilling Corporation (TSX:PD),2005,16.0,0.0,1088.9,538.2,1398.9,472.7,435.6,1474.7,304.5,260.0,0.2,1.3,100.7,131.1,1.4,0.4,4129.5,4070.9
"Helmerich & Payne, Inc. (NYSE:HP)",2005,16.0,0.0,881.4,367.9,139.1,324.2,547.3,1761.8,116.2,237.9,0.0,0.2,0.0,431.1,4.7,0.0,1918.2,4075.6
SEI Investments Company (NasdaqGS:SEIC),2005,16.0,0.0,773.0,545.3,188.3,229.9,306.0,657.1,158.5,214.4,0.0,0.2,0.0,147.5,1.9,0.0,3829.5,4093.5
Frontier Communications Corporation (OTCPK:FTRC.Q),2005,15.0,1.0,2017.0,1860.2,202.4,1116.2,669.7,6427.6,641.8,843.0,3.6,0.1,3962.5,27.9,1.0,4.7,4525.2,4096.9
Frontier Communications Corporation (OTCPK:FTRC.Q),2005,16.0,0.0,2017.0,1860.2,202.4,1116.2,669.7,6427.6,641.8,843.0,3.6,0.1,3962.5,27.9,1.0,4.7,4525.2,4096.9
"Stanley Black & Decker, Inc. (NYSE:SWK)",2005,16.0,0.0,3285.3,1181.3,269.6,480.4,1825.6,3545.1,875.3,362.3,0.8,0.1,407.9,950.3,2.1,1.1,3912.3,4100.3
"Arrow Electronics, Inc. (NYSE:ARW)",2005,16.0,0.0,11164.2,1739.6,253.6,538.8,4517.5,6044.9,2331.9,402.5,1.5,0.0,829.8,2185.6,1.9,2.1,2735.4,4108.3
The New York Times Company (NYSE:NYT),2005,16.0,0.0,3231.1,1834.0,253.5,521.1,1014.6,4564.1,1069.3,294.3,2.6,0.1,1349.6,-54.7,0.9,4.6,5680.4,4109.2
Lincare Holdings Inc.,2005,16.0,0.0,1247.6,741.8,213.7,446.7,213.0,1681.2,93.8,370.0,0.5,0.2,242.1,119.2,2.3,0.7,4164.4,4109.3
"Cephalon, Inc.",2005,16.0,0.0,1211.9,990.0,-175.0,247.7,1048.8,2819.2,1278.6,185.7,4.9,-0.1,1211.3,-229.8,0.8,6.5,2838.3,4118.7
"Ross Stores, Inc. (NasdaqGS:ROST)",2005,16.0,0.0,4944.2,1091.6,199.6,419.6,1228.8,1938.7,879.0,375.2,0.0,0.0,0.0,349.8,1.4,0.0,4201.1,4119.3
"Federated Hermes, Inc. (NYSE:FHI)",2005,16.0,0.0,896.2,672.1,160.3,346.8,346.4,896.6,166.3,186.0,0.0,0.2,0.0,180.1,2.1,0.0,3157.0,4138.5
Ball Corporation (NYSE:BLL),2005,16.0,0.0,5751.2,948.5,272.1,714.7,1243.9,4361.5,1176.0,558.8,2.1,0.0,1529.5,67.9,1.1,2.7,4810.5,4213.7
Pinnacle West Capital Corporation (NYSE:PNW),2005,16.0,0.0,2988.0,1185.5,176.3,896.9,1891.4,11322.6,2272.1,730.3,3.2,0.1,2852.1,-380.7,0.8,3.9,3818.6,4218.4
DENTSPLY SIRONA Inc. (NasdaqGS:XRAY),2005,16.0,0.0,1715.1,869.0,45.4,356.2,1033.1,2410.4,744.3,232.8,0.7,0.0,242.6,288.8,1.4,1.0,4524.2,4222.4
"Fidelity National Financial, Inc. (NYSE:FNF)",2005,16.0,0.0,9654.6,7113.6,964.1,2085.1,2923.3,11104.6,2463.2,1316.5,1.5,0.1,3085.9,460.1,1.2,2.3,,4229.9
USG Corporation,2005,16.0,0.0,5139.0,1102.0,-1436.0,875.0,2179.0,6142.0,600.0,506.0,0.0,-0.3,0.0,1579.0,3.6,0.0,1380.8,4237.4
Viatris Inc. (NasdaqGS:VTRS),2005,16.0,0.0,1249.1,620.0,165.0,350.6,1169.4,1835.1,262.6,299.2,0.6,0.1,218.1,906.8,4.5,0.7,4475.2,4241.6
Alimentation Couche-Tard Inc. (TSX:ATD.B),2005,16.0,0.0,9480.1,1711.1,196.6,412.9,810.6,2190.0,595.6,443.1,0.4,0.0,176.7,215.0,1.4,0.4,3183.3,4245.7
Cummins Inc. (NYSE:CMI),2005,16.0,0.0,9918.0,2044.0,550.0,1031.0,3916.0,6885.0,2218.0,760.0,0.5,0.1,526.8,1698.0,1.8,0.7,3363.1,4329.9
"MDU Resources Group, Inc. (NYSE:MDU)",2005,16.0,0.0,3403.9,775.4,275.1,658.0,933.2,4423.6,628.9,483.6,1.7,0.1,1098.9,304.3,1.5,2.3,3157.9,4339.1
"The Interpublic Group of Companies, Inc. (NYSE:IPG)",2005,16.0,0.0,6274.3,2275.2,-262.9,155.9,7497.4,11945.2,6856.5,-20.2,0.3,0.0,48.3,640.9,1.1,-2.4,5518.7,4348.3
The Macerich Company (NYSE:MAC),2005,16.0,0.0,736.5,479.8,99.7,501.7,304.6,7178.9,308.1,235.3,10.5,0.1,5267.9,-3.5,1.0,22.4,3391.1,4349.9
SUPERVALU INC.,2005,16.0,0.0,19813.5,2906.4,292.9,929.9,2395.7,6476.1,1805.6,883.6,1.1,0.0,1050.8,590.1,1.3,1.2,4270.7,4352.7
Pepco Holdings LLC,2005,16.0,0.0,8065.5,1637.8,371.2,1175.4,2097.7,14038.9,2417.6,986.9,4.6,0.0,5348.1,-319.9,0.9,5.4,4106.1,4360.7
"Lumen Technologies, Inc. (NYSE:LUMN)",2005,16.0,0.0,2479.3,1657.3,334.5,1268.3,423.0,7762.7,746.2,967.1,2.0,0.1,2485.9,-323.2,0.6,2.6,4387.0,4362.1
Sigma-Aldrich Corporation,2005,16.0,0.0,1666.5,859.2,258.3,462.2,950.2,2131.3,460.7,280.5,0.9,0.2,402.6,489.5,2.1,1.4,4339.2,4362.5
Regency Centers Corporation (NasdaqGS:REG),2005,16.0,0.0,380.7,292.7,162.6,259.9,145.8,3616.2,110.8,205.4,6.1,0.4,1572.4,35.0,1.3,7.7,3095.7,4374.4
United States Cellular Corporation (NYSE:USM),2005,16.0,0.0,3030.8,1914.7,155.0,667.6,539.9,5416.2,662.7,630.2,1.6,0.1,1041.5,-122.8,0.8,1.7,3877.4,4419.9
"salesforce.com, inc. (NYSE:CRM)",2005,16.0,0.0,309.9,240.7,28.5,25.4,303.2,434.7,234.6,95.9,0.0,0.1,0.0,68.6,1.3,0.0,1412.5,4445.7
EQT Corporation (NYSE:EQT),2005,16.0,0.0,1253.7,586.5,260.1,445.2,1097.2,3342.3,2092.5,-312.3,2.4,0.2,1055.1,-995.3,0.5,-3.4,3505.0,4460.2
AMB Property Corporation,2005,16.0,0.0,657.6,500.6,257.8,403.0,454.7,6802.7,216.7,295.8,7.9,0.4,3167.6,238.0,2.1,10.7,3088.0,4460.8
"Circuit City Stores, Inc.",2005,3.0,1.0,11152.6,2711.9,83.8,320.4,3507.9,4717.4,2437.1,255.3,0.0,0.0,0.0,1070.8,1.4,0.0,2739.1,4463.0
"NVR, Inc. (NYSE:NVR)",2005,16.0,0.0,5273.7,1516.4,697.6,1181.5,1206.0,2237.7,885.1,532.8,0.2,0.1,293.0,320.9,1.4,0.5,5033.1,4470.0
Intersil Corporation,2005,16.0,0.0,600.3,334.7,85.9,134.8,786.4,2583.7,154.1,153.0,0.0,0.1,0.0,632.3,5.1,0.0,2232.3,4489.4
"Michaels Stores, Inc.",2005,16.0,0.0,3659.0,1634.0,221.0,487.0,1314.7,1875.6,496.8,364.0,0.0,0.1,0.0,817.9,2.6,0.0,4144.6,4495.6
"Leggett & Platt, Incorporated (NYSE:LEG)",2005,16.0,0.0,4257.5,791.4,251.3,559.2,1762.5,4072.4,745.8,448.3,1.8,0.1,1012.2,1016.7,2.4,2.3,5440.6,4495.6
"Urban Outfitters, Inc. (NasdaqGS:URBN)",2005,16.0,0.0,1092.1,513.5,130.8,244.8,385.2,769.2,133.5,149.2,0.0,0.1,0.0,251.7,2.9,0.0,3421.6,4497.8
Sealed Air Corporation (NYSE:SEE),2005,16.0,0.0,4085.1,1158.0,255.8,686.7,1695.4,4864.2,1533.5,363.3,2.3,0.1,1579.4,161.9,1.1,4.3,4286.9,4498.6
"Janus Capital Group, Inc.",2005,16.0,0.0,868.3,568.8,87.8,218.5,1003.7,3628.5,267.8,267.5,0.0,0.1,0.0,735.9,3.7,0.0,3504.2,4505.9
Canadian Utilities Limited (TSX:CU),2005,16.0,0.0,2158.4,1119.3,258.6,820.2,1119.6,5849.2,374.9,643.0,2.4,0.1,1935.7,744.7,3.0,3.0,3061.5,4516.8
Amphenol Corporation (NYSE:APH),2005,16.0,0.0,1808.1,600.5,206.3,395.0,709.8,1932.5,335.9,229.6,1.9,0.1,742.6,373.9,2.1,3.2,3480.2,4517.7
ARC Resources Ltd. (TSX:ARX),2005,16.0,0.0,797.8,663.5,311.0,548.3,120.2,2789.3,167.8,529.1,0.8,0.4,451.8,-47.6,0.7,0.9,2943.9,4522.8
Bombardier Inc. (TSX:BBD.B),2005,16.0,0.0,14726.0,2037.0,249.0,1007.0,10137.0,17482.0,6838.0,314.0,1.8,0.0,1832.7,3299.0,1.5,5.8,3749.4,4558.4
Station Casinos LLC,2005,4.0,1.0,1108.8,671.7,161.9,425.9,139.2,2929.0,228.8,376.9,4.4,0.1,1861.2,-89.6,0.6,4.9,4062.5,4578.5
Station Casinos LLC,2005,4.0,1.0,1108.8,671.7,161.9,425.9,139.2,2929.0,228.8,376.9,4.4,0.1,1861.2,-89.6,0.6,4.9,4062.5,4578.5
"Williams-Sonoma, Inc. (NYSE:WSM)",2005,16.0,0.0,3538.9,1588.4,214.9,469.0,1083.2,1981.6,590.4,348.4,0.0,0.1,0.0,492.8,1.8,0.0,4050.4,4591.4
SCANA Corporation,2005,16.0,0.0,4777.0,1091.0,320.0,972.0,1464.0,9519.0,1500.0,467.0,3.6,0.1,3499.2,-36.0,1.0,7.5,4386.6,4598.8
Hormel Foods Corporation (NYSE:HRL),2005,16.0,0.0,5558.5,1325.4,259.2,540.8,1045.1,2836.8,516.5,375.3,0.4,0.0,230.9,528.6,2.0,0.6,4350.3,4620.6
"CBRE Group, Inc. (NYSE:CBRE)",2005,16.0,0.0,3194.0,1440.6,217.3,417.9,1285.0,2815.7,1137.8,359.7,0.9,0.1,384.1,147.2,1.1,1.1,2464.7,4621.6
Waters Corporation (NYSE:WAT),2005,16.0,0.0,1158.2,679.9,202.0,330.0,913.0,1428.9,603.9,298.1,1.0,0.2,333.3,309.1,1.5,1.1,5930.8,4642.7
Western Digital Corporation (NasdaqGS:WDC),2005,16.0,0.0,3987.3,733.3,282.6,448.9,1324.6,1778.4,817.0,390.6,0.0,0.1,0.0,507.6,1.6,0.0,2211.1,4689.0
ManpowerGroup Inc. (NYSE:MAN),2005,16.0,0.0,15845.4,2831.8,260.1,510.9,3841.7,5568.4,2580.5,268.8,0.5,0.0,280.0,1261.2,1.5,1.0,4388.6,4701.2
"Advance Auto Parts, Inc. (NYSE:AAP)",2005,16.0,0.0,4265.0,2014.5,234.7,528.4,1547.9,2542.1,1141.5,321.6,1.1,0.1,570.7,406.4,1.4,1.8,3169.1,4713.3
Ashland Global Holdings Inc. (NYSE:ASH),2005,16.0,0.0,6270.0,1177.0,1976.0,235.0,3410.0,6482.0,1242.0,-94.0,0.0,0.3,0.0,2168.0,2.7,0.0,4415.7,4747.0
Radian Group Inc. (NYSE:RDN),2005,16.0,0.0,1298.2,791.7,522.9,605.3,1189.4,7230.6,1057.3,607.6,1.2,0.4,738.5,132.1,1.1,1.2,4404.8,4751.6
Huntsman Corporation (NYSE:HUN),2005,16.0,0.0,8445.9,1413.4,-34.6,1058.7,3096.0,8870.5,1887.7,968.6,4.1,0.0,4319.5,1208.3,1.6,4.5,,4766.2
"Patterson Companies, Inc. (NasdaqGS:PDCO)",2005,16.0,0.0,2547.2,894.0,191.8,337.2,774.0,1820.8,305.4,131.9,0.3,0.1,117.0,468.6,2.5,0.9,6400.0,4774.7
The St. Joe Company (NYSE:JOE),2005,16.0,0.0,717.7,292.3,126.7,198.9,287.2,1591.9,214.4,192.1,1.8,0.2,352.1,72.8,1.3,1.8,5229.7,4778.2
"BMC Software, Inc.",2005,16.0,0.0,1485.6,1086.7,65.9,266.7,1324.9,3029.1,1019.6,425.9,0.0,0.0,0.0,305.3,1.3,0.0,3735.5,4780.2
Goodrich Corporation,2005,16.0,0.0,5202.6,1418.7,263.6,745.4,2425.4,6454.0,1614.6,343.7,2.0,0.1,1513.2,810.8,1.5,4.4,4079.4,4839.2
"WestRock MWV, LLC",2005,16.0,0.0,6170.0,1101.0,28.0,847.0,2030.0,8908.0,1042.0,227.0,2.5,0.0,2134.4,988.0,1.9,9.4,5854.6,4841.6
